"id","x","y","color"
"H",-1.61012239653736,0.258215654491064,"yellow"
"2",-0.786211208023783,0.122605527097578,"yellow"
"3",-0.262114079484372,0.966215842037025,"yellow"
"4",-1.37835535692418,1.11007717340791,"yellow"
"5",-2.83863287212396,-0.400237778030165,"yellow"
"6",-3.49780987917365,-0.290443128863572,"yellow"
"7",-3.46945129191032,0.133852921140818,"yellow"
"8",-1.15588942085306,0.714891146193955,"yellow"
"9",1.51206682570092,0.599982016681781,"pink"
"10",1.63508369319589,2.6348696004947,"pink"
"11",-3.18192889120245,-0.926114542873458,"yellow"
"12",-2.98378798420194,0.980828144762032,"yellow"
"13",-2.40554012512898,1.88293238617554,"yellow"
"14",-0.293223634906164,0.572166042373107,"yellow"
"15",3.89715084263323,0.296719898386208,"pink"
"16",3.22521414861744,0.0694819559957804,"pink"
"17",-4.63022610601702,-0.206561835651583,"yellow"
"18",-2.04386423701356,-1.23388882738323,"yellow"
"19",4.5296833803204,0.479716470603374,"pink"
"20",-0.246951477582756,-0.558324430510752,"yellow"
"21",3.74672169055622,-0.433121609018835,"pink"
"22",-1.37573533488232,-1.11398582591749,"yellow"
"23",3.82675030773182,1.77081489515407,"pink"
"24",3.12022345583947,1.7333607734687,"pink"
"25",2.52423197251772,3.19946851232948,"pink"
"26",2.70374322625347,2.4636619834809,"pink"
"27",4.61948915358705,1.52266885487451,"pink"
"28",2.32666077203224,2.05114887918622,"pink"
"29",1.33239077164696,1.95067417112281,"pink"
"30",3.90327660542907,1.23366688637337,"pink"
"31",1.98246783199124,0.108504189611648,"pink"
"32",1.9270426611941,1.63841348173638,"pink"
"33",2.89180786455532,0.775871249722887,"pink"
"A",2.63387887968761,1.04031648456806,"pink"
